drug,gene,metric,spearman_r,spearman_p,pearson_r,pearson_p,n_cell_lines
bardoxolone-methyl,HNF1A,auc,-0.02547771290345542,0.38576711881903736,0.004279190293602702,0.8841973931221596,1161
bardoxolone-methyl,MYC,ic50,-0.11966679630082501,4.524255662973441e-05,-0.1000323865700805,0.000659299775779174,1161
bardoxolone-methyl,MYC,auc,-0.11084575074881252,0.00015402019580502925,-0.09366026252185675,0.00139871656071487,1161
bardoxolone-methyl,ERBB2,ic50,0.02410784730088553,0.41284400544323974,0.059840291709342165,0.04193225205441558,1161
bardoxolone-methyl,ERBB2,auc,0.008808186012897942,0.7643237580710381,0.050345368532153066,0.08640392034572851,1161
genistein,CRP,ic50,0.10680838162448421,0.6193696406244618,0.2422431317056215,0.2540865197173728,630
genistein,CRP,auc,-0.0021471364927277132,0.9571058768515022,0.0478614128843875,0.2302893882665989,630
genistein,HNF1A,ic50,-0.2590778361559655,0.22153084683073462,-0.11798415690961245,0.582957452030322,630
genistein,HNF1A,auc,0.01694654633619336,0.6711715336196571,0.03630485656038428,0.36296232768707,630
genistein,MYC,ic50,0.10567514926917308,0.6231127937692268,-0.26215750511517316,0.2158912547488255,630
genistein,MYC,auc,-0.0742546740311148,0.06251177759437589,-0.05798677606240307,0.14600466990056318,630
genistein,ERBB2,ic50,0.12959339293092004,0.5461512557108337,0.18039422218312873,0.39893650193458285,630
genistein,ERBB2,auc,0.03741594118570141,0.34845210194396486,0.043866313205812815,0.27160306168661014,630
cyt387,CRP,ic50,0.03493352675925966,0.3462570803816908,-0.006772128946499603,0.8551622599320837,1079
cyt387,CRP,auc,0.041944811924095445,0.1685685903645047,-0.035273782804878515,0.2469884255357858,1079
cyt387,HNF1A,ic50,0.060002013469994786,0.10550473278453398,0.0020913287732290215,0.9550478192178583,1079
cyt387,HNF1A,auc,0.027236156590116717,0.371436525455707,0.034910643829510056,0.2518904908676813,1079
cyt387,MYC,ic50,0.01889564103243781,0.6105053089462735,0.015428647953311883,0.6774953304487435,1079
cyt387,MYC,auc,-0.06578620518331942,0.030711531036933595,-0.057736445706459985,0.057970889969334236,1079
cyt387,ERBB2,ic50,-0.0516784864990054,0.16336103700091945,-0.05678387219750254,0.12557928612736283,1079
cyt387,ERBB2,auc,0.018178169337082075,0.55085719357754,0.033774075718821406,0.26766936942913283,1079
S-111,CRP,auc,0.04720643427571839,0.29651284598645905,0.06361714936537612,0.15928068518334704,491
S-111,HNF1A,auc,-0.0725195807828006,0.10850600690405997,-0.08242018208228272,0.06803726246677858,491
S-111,MYC,auc,-0.0017405308761592362,0.9693134960641773,-0.022677328747970855,0.6161742632592925,491
S-111,ERBB2,auc,0.031022910354712722,0.4928173176595918,0.034488778645912065,0.445762065822118,491
panobinostat,CRP,ic50,0.024860115733336675,0.40629349568312084,-0.01232354121064399,0.6806246721498068,1123
panobinostat,CRP,auc,0.03732169092308873,0.21139566974532104,-0.03706714239824144,0.2145291670404884,1123
panobinostat,HNF1A,ic50,0.015832979617703916,0.5969161194655361,-0.015175177587397705,0.6122484843869296,1123
panobinostat,HNF1A,auc,-0.018722969026993493,0.5308000399298786,-0.02285025070849112,0.4442797335661101,1123
panobinostat,MYC,ic50,-0.10275415966134695,0.0005795502804934129,-0.07067076098531039,0.018113226521343274,1123
panobinostat,MYC,auc,-0.10660407705612465,0.00034536934121093157,-0.09942954190916395,0.0008482126425811998,1123
panobinostat,ERBB2,ic50,0.08583132055256244,0.004078952786218479,0.05725562135239179,0.05563848813468488,1123
panobinostat,ERBB2,auc,0.04777155499748663,0.10959582090087984,0.059416390616592006,0.04651877322809567,1123
aminoglutethimide,CRP,ic50,-0.07465764998200745,0.7684393823994703,-0.07408789530121324,0.7701614263269744,873
aminoglutethimide,CRP,auc,-0.056039183226888084,0.09798660687260997,-0.008351112270195502,0.8053745317666345,873
aminoglutethimide,HNF1A,ic50,0.6058723562206216,0.007698686153415745,0.03702610339166411,0.8840318909178929,873
aminoglutethimide,HNF1A,auc,0.04367424741314873,0.19733182634847016,0.01984209406144731,0.5582226355697407,873
aminoglutethimide,MYC,ic50,-0.1991744066047472,0.4281580319192048,0.07489665246959844,0.767717320502627,873
aminoglutethimide,MYC,auc,-0.1124718827369793,0.0008716927496380904,-0.07644902380779847,0.023891053445047723,873
aminoglutethimide,ERBB2,ic50,0.17234262125902994,0.4940764278767835,0.07811939493551685,0.7579989260045031,873
aminoglutethimide,ERBB2,auc,0.12890984685761353,0.00013381286084219521,0.12174457128556465,0.0003116724253934242,873
filanesib,CRP,ic50,0.06053585302905091,0.0712221503452195,0.020316957050321986,0.545190547170419,1007
filanesib,CRP,auc,0.06197326553442752,0.04929151733200006,0.09735378153216949,0.001982339750531148,1007
filanesib,HNF1A,ic50,0.03853276761008497,0.251089650029379,-0.008719351455997658,0.7951598137381862,1007
filanesib,HNF1A,auc,-0.009031007348084586,0.774699495163533,0.023443417688986782,0.45741248869785217,1007
filanesib,MYC,ic50,-0.006339340914869688,0.8502884495972646,0.011256359635526183,0.7375050100471349,1007
filanesib,MYC,auc,-0.010154707536047008,0.7475662766341911,-0.005071228197557202,0.8723078093963438,1007
filanesib,ERBB2,ic50,-0.018688574559133746,0.5778793026157906,0.017840824505391813,0.5952540675242751,1007
filanesib,ERBB2,auc,-0.0835955798228646,0.007951730728675773,-0.09242495915249313,0.003329159290192723,1007
NVP-AUY922,CRP,ic50,0.01840389717361325,0.5380087756846748,-0.021413923170470354,0.4736399812134538,1146
NVP-AUY922,CRP,auc,0.046916218451039535,0.11242708393099361,0.0631838598326818,0.03245654430179739,1146
NVP-AUY922,HNF1A,ic50,0.08473881673632955,0.00450597744002823,0.06846501436575053,0.021821665316031826,1146
NVP-AUY922,HNF1A,auc,0.13546140424091513,4.185614649525051e-06,0.1420270141945706,1.3844537793729676e-06,1146
NVP-AUY922,MYC,ic50,-0.10362703507222955,0.0005077893487491249,-0.028445031194091034,0.34113097579618323,1146
NVP-AUY922,MYC,auc,-0.06340657161328223,0.03184935708367102,-0.05252898390744386,0.07548099897103028,1146
NVP-AUY922,ERBB2,ic50,0.10376926123286301,0.0004987796169289772,0.08472461408241777,0.004512731610100965,1146
NVP-AUY922,ERBB2,auc,0.04340521636819498,0.1419768914013084,0.0496579228198771,0.09290809938033047,1146
tamibarotene,CRP,ic50,0.4945177789246603,0.022674414797445697,0.8497777396602183,1.0876870121238365e-06,1015
tamibarotene,CRP,auc,-0.0077283872137694255,0.8057445773319667,-0.028251868301852244,0.368573581425878,1015
tamibarotene,HNF1A,ic50,0.116037122259587,0.6164514577769398,-0.07264594533561727,0.7543305348476712,1015
tamibarotene,HNF1A,auc,0.06735537185175187,0.03189915982244167,0.09946251686458399,0.001510033514774749,1015
tamibarotene,MYC,ic50,-0.3183885640025991,0.15954064607575302,-0.05938106545198782,0.7981973086191687,1015
tamibarotene,MYC,auc,-0.05119461876968232,0.10308631062545588,-0.033330064435921215,0.2887576371875697,1015
tamibarotene,ERBB2,ic50,0.25471085120207926,0.2651667200422569,0.23551719345467337,0.3040736496567602,1015
tamibarotene,ERBB2,auc,0.09902292696207986,0.001584982287115583,0.12687084600450152,5.047955113399413e-05,1015
olaparib,CRP,ic50,0.06650321400168828,0.14404144172195588,0.04307030453228509,0.3443855928920443,1145
olaparib,CRP,auc,0.04904588243114106,0.0971575584862698,0.0038430756865275584,0.8966456589623171,1145
olaparib,HNF1A,ic50,0.010665108465863592,0.8149598649894415,-0.080395357771772,0.07723063987231822,1145
olaparib,HNF1A,auc,0.10466276545535973,0.0003889922771222382,0.0939271252857598,0.0014633413297228338,1145
olaparib,MYC,ic50,-0.13061184897167513,0.003997355518528927,-0.08004830390398865,0.0785209342049311,1145
olaparib,MYC,auc,-0.11364275427465291,0.00011633823786463371,-0.07067756338411271,0.016758841524111036,1145
olaparib,ERBB2,ic50,0.0003294789691778584,0.9942315085769485,0.02646697643976592,0.5613283092471842,1145
olaparib,ERBB2,auc,0.11230515503572996,0.00014005749378683663,0.14463822497182005,8.888873930464633e-07,1145
rigosertib,CRP,ic50,0.019443862096211066,0.5515757326079513,0.03067556660781505,0.3474921946098493,1023
rigosertib,CRP,auc,0.06142561104154432,0.04951704946976679,0.047593994397379304,0.12819334571864888,1023
rigosertib,HNF1A,ic50,0.04955339151207162,0.12896665762002452,0.1268483687942169,9.631786014132685e-05,1023
rigosertib,HNF1A,auc,0.058684287488957126,0.06061376084968294,0.09113496871554141,0.003529584112175148,1023
rigosertib,MYC,ic50,-0.05975420734371746,0.06706650633063245,0.0108073048371949,0.7407090942888692,1023
rigosertib,MYC,auc,-0.056833594863148894,0.06921203267930234,-0.032635090576081716,0.29703422692019454,1023
rigosertib,ERBB2,ic50,0.06939558914617208,0.03338997595063588,0.008252889358062359,0.80050281522751,1023
rigosertib,ERBB2,auc,0.0922570858050596,0.0031421498627471614,0.08208804476071926,0.008620243450567286,1023
alvespimycin,CRP,ic50,0.0328893658990414,0.2795202719982711,0.2943855305224642,4.295428001261498e-23,1143
alvespimycin,CRP,auc,0.042344510775072446,0.15252467012588147,-0.008093176692189041,0.7846060875104418,1143
alvespimycin,HNF1A,ic50,0.016618268249949573,0.5848623613464191,0.11526460182827285,0.00014380225268621034,1143
alvespimycin,HNF1A,auc,0.008212836488299796,0.7815015656718536,0.011929973570222456,0.6870181504975927,1143
alvespimycin,MYC,ic50,0.07106325662604646,0.019341904232951325,-0.02359475980708119,0.43793179276535915,1143
alvespimycin,MYC,auc,0.05677675169157086,0.054987841537039096,0.0448254737314229,0.12987995408442865,1143
alvespimycin,ERBB2,ic50,-0.13439241463769863,9.090243693092603e-06,-0.03546596603364272,0.24354681821600313,1143
alvespimycin,ERBB2,auc,-0.12952682729494275,1.1189734436662229e-05,-0.13274140202928997,6.706777597361546e-06,1143
